Hiragana,Romaji,Kanji,English_Meaning,Example
かど,kado,門,gate,門…かど
かな,kana,仮名,Japanese syllabary (alphabets);kana,仮名…かな
かない,kanai,家内,wife,家内…かない
かなう,kanau,叶う,to come true (wish),叶う…かなう
かなえる,kanaeru,叶える,to grant (request  wish),叶える…かなえる
かなしい,kanashii,悲しい,sad;sorrowful,悲しい…かなしい
かなしむ,kanashimu,悲しむ,to be sad;to mourn for;to regret,悲しむ…かなしむ
かなづかい,kanadukai,仮名遣い,kana orthography;syllabary spelling,仮名遣い…かなづかい
かなづち,kanaduchi,金槌,1.  (iron) hammer; 2.  punishment,金槌…かなづち
かなぼう,kanabou,鉄棒,iron rod;crowbar;horizontal bar (gymnastics),鉄棒…かなぼう
かならず,kanarazu,必ず,necessarily;certainly;without fail;positively;invariably,必ず…かならず
かならずしも,kanarazushimo,必ずしも,(not) always;(not) necessarily;(not) all;(not) entirely,必ずしも…かならずしも
かなり,kanari,可成,considerably;fairly;quite,可成…かなり
かなわない,kanawanai,敵わない,1.  no match for; 2.  unbearable; 3.  unable;can't do,敵わない…かなわない
かにゅう,kanyuu,加入,becoming a member;joining;entry;admission;subscription;affiliation;adherence;signing,加入…かにゅう
かね,kane,金,money;metal,金…かね
かね,kane,鐘,bell;chime,鐘…かね
かね,kane,金,money;metal,金…かね
かねぐら,kanegura,金庫,safe;vault;treasury;provider of funds,金庫…かねぐら
かねごと,kanegoto,予言,prediction;promise;prognostication,予言…かねごと
かねつ,kanetsu,加熱,heating,加熱…かねつ
かねて,kanete,兼ねて,simultaneously,兼ねて…かねて
かねもち,kanemochi,金持ち,rich man,金持ち…かねもち
かねる,kaneru,兼ねる,to hold (position);to serve;to be unable;to be beyond one's ability;to combine with;to use with;cannot;to hesitate to;to be impatient,兼ねる…かねる
かのう,kanou,可能,possible;practicable;feasible,可能…かのう
かのじょ,kanojyo,彼女,she;girl friend;sweetheart,彼女…かのじょ
かはんすう,kahansuu,過半数,majority,過半数…かはんすう
かばう,kabau,庇う,to protect someone;to take under one's wing;to plead for;to stick up for;to cover up for someone,庇う…かばう
かばん,kaban,下番,going off duty,下番…かばん
かひん,kahin,下品,inferior article,下品…かひん
かび,kabi,華美,pomp;splendor;gaudiness,華美…かび
かびん,kabin,花瓶,(flower) vase,花瓶…かびん
かふん,kafun,花粉,pollen,花粉…かふん
かぶ,kabu,株,share;stock;stump (of tree),株…かぶ
かぶしき,kabushiki,株式,stock (company),株式…かぶしき
かぶせる,kabuseru,被せる,to cover (with something);to plate something (with a metal);to pour or dash a liquid (on something);to charge (a person with a guilt),被せる…かぶせる
かぶる,kaburu,被る,to wear;to put on (head);to pour or dash water (on oneself),被る…かぶる
かぶれる,kabureru,気触れる,to react to;to be influenced by;to go overboard for,気触れる…かぶれる
かへい,kahei,貨幣,money;currency;coinage,貨幣…かへい
かべ,kabe,壁,wall,壁…かべ
かま,kama,釜,iron pot;kettle,釜…かま
かまいません,kamaimasen,構いません,it doesn't matter,構いません…かまいません
かまえ,kamae,構え,posture;pose;style,構え…かまえ
かまえる,kamaeru,構える,to set up,構える…かまえる
かみ,kami,加味,seasoning;flavoring,加味…かみ
かみ,kami,神,god,神…かみ
かみ,kami,紙,paper,紙…かみ
かみ,kami,髪,hair,髪…かみ
かみ,kami,紙,paper,紙…かみ
かみきる,kamikiru,噛み切る,to bite off;to gnaw through,噛み切る…かみきる
かみくず,kamikuzu,紙屑,wastepaper,紙屑…かみくず
かみさま,kamisama,神様,god,神様…かみさま
かみそり,kamisori,剃刀,razor,剃刀…かみそり
かみつ,kamitsu,過密,crowded,過密…かみつ
かみのけ,kaminoke,髪の毛,hair (head),髪の毛…かみのけ
かむ,kamu,噛む,to bite;to chew;to gnaw,噛む…かむ
かめ,kame,瓶,earthenware pot,瓶…かめ
かもく,kamoku,科目,(school) subject;curriculum;course,科目…かもく
かもしれない,kamoshirenai,かも知れない,may;might;perhaps;may be;possibly,かも知れない…かもしれない
かもつ,kamotsu,貨物,cargo;freight,貨物…かもつ
かゆ,kayu,粥,(rice) gruel,粥…かゆ
かゆい,kayui,痒い,itchy;itching,痒い…かゆい
かよう,kayou,通う,to commute;to go back and forth,通う…かよう
かよう,kayou,歌謡,song;ballad,歌謡…かよう
かよう,kayou,火曜,Tuesday,火曜…かよう
から,kara,空,emptiness,空…から
から,kara,殻,shell;husk;hull;chaff,殻…から
から,kara,空,emptiness,空…から
から,kara,空,emptiness,空…から
からい,karai,辛い,hot (spicy);salty;tough (on someone);adverse;harsh,辛い…からい
からい,karai,辛い,hot (spicy);salty;tough (on someone);adverse;harsh,辛い…からい
からい,karai,辛い,hot (spicy);salty;tough (on someone);adverse;harsh,辛い…からい
からかう,karakau,揶揄う,to ridicule;to tease;to banter with;to make fun of,揶揄う…からかう
からだ,karada,体,body;health,体…からだ
からだ,karada,身体,the body,身体…からだ
からだつき,karadatsuki,体付き,body build;figure,体付き…からだつき
からっぽ,karapo,空っぽ,empty;vacant;hollow,空っぽ…からっぽ
からむ,karamu,絡む,to entangle;to entwine,絡む…からむ
かり,kari,借り,borrowing;debt;loan,借り…かり
かり,kari,下吏,lower official,下吏…かり
かりる,kariru,借りる,to borrow;to have a loan;to hire;to rent;to buy on credit,借りる…かりる
かる,karu,刈る,to cut (hair);to mow (grass);to harvest;to clip;to shear;to reap;to trim;to prune,刈る…かる
かるい,karui,軽い,light;non-serious;minor,軽い…かるい
かるた,karuta,加留多,(pt:) (n) playing cards (pt: carta),加留多…かるた
かれ,kare,彼,he;boyfriend,彼…かれ
かれら,karera,彼等,they,彼等…かれら
かれる,kareru,涸れる,to dry up;to run out,涸れる…かれる
かれる,kareru,枯れる,to wither;to die (plant);to be blasted (plant),枯れる…かれる
かろう,karou,過労,overwork;strain,過労…かろう
かろうじて,karoujite,辛うじて,barely;narrowly;just manage to do st,辛うじて…かろうじて
かわ,kawa,側,side;row;surroundings;part;(watch) case,側…かわ
かわ,kawa,川,river,川…かわ
かわ,kawa,皮,skin;hide;leather;fur;pelt;bark;shell,皮…かわ
かわ,kawa,革,leather,革…かわ
かわいい,kawaii,可愛い,pretty;cute;lovely;charming;dear;darling;pet,可愛い…かわいい
かわいがる,kawaigaru,可愛がる,to love;to be affectionate,可愛がる…かわいがる
かわいそう,kawaisou,可哀想,poor;pitiable;pathetic,可哀想…かわいそう
かわいらしい,kawairashii,可愛らしい,lovely;sweet,可愛らしい…かわいらしい
かわかす,kawakasu,乾かす,to dry (clothes  etc.);to desiccate,乾かす…かわかす
かわく,kawaku,乾く,to get dry,乾く…かわく
かわく,kawaku,渇く,to be thirsty,渇く…かわく
かわす,kawasu,交わす,to exchange (messages);to dodge;to parry;to avoid;to turn aside,交わす…かわす
かわせ,kawase,為替,money order;exchange,為替…かわせ
かわら,kawara,瓦,roof tile,瓦…かわら
かわり,kawari,代わり,substitute;deputy;proxy;alternate;relief;compensation;second helping,代わり…かわり
かわる,kawaru,代わる,to take the place of;to relieve;to be substituted for;to be exchanged;to change places with;to take turns;to be replaced,代わる…かわる
かわる,kawaru,変わる,to change;to be transformed;to vary;to be revised;to be different;to move location,変わる…かわる
かわるがわる,kawarugawaru,代わる代わる,alternately,代わる代わる…かわるがわる
かん,kan,乾,heaven;emperor,乾…かん
かん,kan,管,pipe;tube,管…かん
かん,kan,幹,(tree) trunk,幹…かん
かん,kan,缶,can;tin,缶…かん
かん,kan,勘,perception;intuition;the sixth sense,勘…かん
かん,kan,冠,crown;diadem;first;best;peerless;cap;naming;designating;initiating on coming of age;top character radical,冠…かん
かん,kan,管,pipe;tube,管…かん
かん,kan,観,look;appearance;spectacle,観…かん
かん,kan,乾,heaven;emperor,乾…かん
かん,kan,館,house;hall;building;hotel;inn;guesthouse,館…かん
かん,kan,乾,heaven;emperor,乾…かん
かんい,kani,簡易,simplicity;easiness;quasi-,簡易…かんい
かんかく,kankaku,感覚,sense;sensation,感覚…かんかく
かんかく,kankaku,間隔,space;interval;SPC,間隔…かんかく
かんがい,kangai,感慨,strong feelings;deep emotion,感慨…かんがい
かんがえ,kangae,考え,thinking;thought;ideas;intention,考え…かんがえ
かんがえる,kangaeru,考える,to consider,考える…かんがえる
かんき,kanki,寒気,cold;frost;chill,寒気…かんき
かんき,kanki,換気,ventilation,換気…かんき
かんきゃく,kankyaku,観客,audience;spectator(s),観客…かんきゃく
かんきょう,kankyou,環境,environment;circumstance,環境…かんきょう
かんけい,kankei,関係,relation;connection,関係…かんけい
かんけつ,kanketsu,簡潔,brevity;conciseness;simplicity,簡潔…かんけつ
かんげい,kangei,歓迎,welcome;reception,歓迎…かんげい
かんげき,kangeki,感激,deep emotion;impression;inspiration,感激…かんげき
かんげん,kangen,還元,resolution;reduction;return to origins,還元…かんげん
かんこう,kankou,刊行,publication;issue,刊行…かんこう
かんこう,kankou,慣行,customary practice;habit;traditional event,慣行…かんこう
かんこう,kankou,観光,sightseeing,観光…かんこう
かんこく,kankoku,勧告,advice;counsel;remonstrance;recommendation,勧告…かんこく
かんご,kango,看護,nursing;(army) nurse,看護…かんご
かんご,kango,漢語,Chinese word;Sino-Japanese word,漢語…かんご
かんごふ,kangofu,看護婦,nurse,看護婦…かんごふ
かんさい,kansai,関西,Kansai (south-western half of Japan  including Osaka),関西…かんさい
かんさつ,kansatsu,観察,observation;survey,観察…かんさつ
かんさん,kansan,換算,conversion;change;exchange,換算…かんさん
かんし,kanshi,監視,observation;guarding;inspection;surveillance,監視…かんし
かんしゃ,kansha,感謝,thanks;gratitude,感謝…かんしゃ
かんしゅう,kanshuu,慣習,usual (historical) custom,慣習…かんしゅう
かんしゅう,kanshuu,観衆,spectators;onlookers;members of the audience,観衆…かんしゅう
かんしょう,kanshou,干渉,interference;intervention,干渉…かんしょう
かんしょう,kanshou,鑑賞,appreciation,鑑賞…かんしょう
かんしょく,kanshoku,感触,sense of touch;feeling;sensation,感触…かんしょく
かんしん,kanshin,感心,admiration;Well done!,感心…かんしん
かんしん,kanshin,関心,concern;interest,関心…かんしん
かんじ,kanji,感じ,feeling;sense;impression,感じ…かんじ
かんじ,kanji,漢字,Chinese characters;kanji,漢字…かんじ
かんじゃ,kanjya,患者,a patient,患者…かんじゃ
かんじょう,kanjyou,勘定,calculation;counting;consideration;reckoning;settlement of an account;allowance,勘定…かんじょう
かんじょう,kanjyou,感情,emotion(s);feeling(s);sentiment,感情…かんじょう
かんじる,kanjiru,感じる,to feel;to sense;to experience,感じる…かんじる
かんじん,kanjin,肝心,essential;fundamental;crucial;vital;main,肝心…かんじん
かんする,kansuru,関する,to concern;to be related,関する…かんする
かんずる,kanzuru,感ずる,to feel;to sense,感ずる…かんずる
かんせい,kansei,歓声,cheer;shout of joy,歓声…かんせい
かんせい,kansei,完成,1.  complete;completion; 2.  perfection;accomplishment,完成…かんせい
かんせつ,kansetsu,間接,indirection;indirectness,間接…かんせつ
かんせん,kansen,感染,infection;contagion,感染…かんせん
かんせん,kansen,幹線,main line;trunk line,幹線…かんせん
かんぜい,kanzei,関税,customs;duty;tariff,関税…かんぜい
かんぜん,kanzen,完全,perfection;completeness,完全…かんぜん
かんそ,kanso,簡素,simplicity;plain,簡素…かんそ
かんそう,kansou,乾燥,dry;arid;insipid;dehydrated,乾燥…かんそう
かんそう,kansou,感想,impressions;thoughts,感想…かんそう
かんそく,kansoku,観測,observation,観測…かんそく
かんたい,kantai,寒帯,frigid zone,寒帯…かんたい
かんたん,kantan,簡単,simple,簡単…かんたん
かんちがい,kanchigai,勘違い,misunderstanding;wrong guess,勘違い…かんちがい
かんちょう,kanchou,官庁,government office;authorities,官庁…かんちょう
かんづめ,kandume,缶詰,packing (in cans);canning;canned goods;tin can,缶詰…かんづめ
かんてん,kanten,観点,point of view,観点…かんてん
かんでんち,kandenchi,乾電池,dry cell;battery,乾電池…かんでんち
かんとう,kantou,関東,Kantou (eastern half of Japan  including Tokyo),関東…かんとう
かんとく,kantoku,監督,supervision;control;superintendence,監督…かんとく
かんど,kando,感度,sensitivity;severity (quake),感度…かんど
かんどう,kandou,感動,being deeply moved emotionally;excitement;impression;deep emotion,感動…かんどう
かんねん,kannen,観念,1.  idea;notion;conception; 2.  sense (e.g. of duty); 3.  resignation;preparedness;acceptance,観念…かんねん
かんばん,kanban,看板,sign;signboard;doorplate;poster;billboard;appearance;figurehead;policy;attraction;closing time,看板…かんばん
かんぱい,kanpai,乾杯,toast (drink),乾杯…かんぱい
かんびょう,kanbyou,看病,nursing (a patient),看病…かんびょう
かんぶ,kanbu,幹部,management;(executive) staff;leaders,幹部…かんぶ
かんべん,kanben,勘弁,pardon;forgiveness;forbearance,勘弁…かんべん
かんぺき,kanpeki,完璧,perfection;completeness;flawless,完璧…かんぺき
かんむりょう,kanmuryou,感無量,deep feeling;inexpressible feeling;filled with emotion,感無量…かんむりょう
かんゆう,kanyuu,勧誘,invitation;solicitation;canvassing;inducement;persuasion;encouragement,勧誘…かんゆう
かんよ,kanyo,関与,participation;taking part in;participating in;being concerned in,関与…かんよ
かんよう,kanyou,慣用,common;customary,慣用…かんよう
かんよう,kanyou,寛容,forbearance;tolerance;generosity,寛容…かんよう
かんらん,kanran,観覧,viewing,観覧…かんらん
かんり,kanri,管理,control;management (e.g. of a business),管理…かんり
かんりょう,kanryou,官僚,bureaucrat;bureaucracy,官僚…かんりょう
かんりょう,kanryou,完了,completion;conclusion,完了…かんりょう
かんれい,kanrei,慣例,custom;precedent;of convention,慣例…かんれい
かんれき,kanreki,還暦,60th birthday,還暦…かんれき
かんれん,kanren,関連,relation;connection;relevance,関連…かんれん
かんろく,kanroku,貫禄,presence;dignity,貫禄…かんろく
かんわ,kanwa,緩和,relief;mitigation,緩和…かんわ
かんわ,kanwa,漢和,Chinese Character-Japanese (e.g. dictionary),漢和…かんわ
がい,gai,害,injury;harm;evil influence;damage,害…がい
がい,gai,蓋,cover;lid;cap,蓋…がい
がい,gai,街,~street;~quarters,街…がい
がいか,gaika,外貨,imported goods;foreign money,外貨…がいか
がいかん,gaikan,外観,appearance;exterior;facade,外観…がいかん
がいこう,gaikou,外交,diplomacy,外交…がいこう
がいこく,gaikoku,外国,foreign country,外国…がいこく
がいしゅつ,gaishutsu,外出,outing;going out,外出…がいしゅつ
がいしょう,gaishou,外相,Foreign Minister,外相…がいしょう
がいする,gaisuru,害する,to injure;to damage;to harm;to kill;to hinder,害する…がいする
がいせつ,gaisetsu,概説,general statement;outline,概説…がいせつ
がいとう,gaitou,該当,corresponding;answering to;coming under,該当…がいとう
がいとう,gaitou,街頭,in the street,街頭…がいとう
がいねん,gainen,概念,general idea;concept;notion,概念…がいねん
がいぶ,gaibu,外部,the outside;external,外部…がいぶ
がいらい,gairai,外来,imported;outpatient clinic,外来…がいらい
がいりゃく,gairyaku,概略,outline;summary;gist;in brief,概略…がいりゃく
がいろん,gairon,概論,intro;outline;general remarks,概論…がいろん
がか,gaka,画家,painter;artist,画家…がか
がく,gaku,額,picture (framed);amount or sum (of money),額…がく
がく,gaku,額,picture (framed);amount or sum (of money),額…がく
がく,gaku,額,picture (framed);amount or sum (of money),額…がく
がくげい,gakugei,学芸,arts and sciences;liberal arts,学芸…がくげい
がくし,gakushi,学士,university graduate,学士…がくし
がくしゃ,gakusha,学者,scholar,学者…がくしゃ
がくしゅう,gakushuu,学習,study,学習…がくしゅう
がくじゅつ,gakujyutsu,学術,science;learning;scholarship,学術…がくじゅつ
がくせい,gakusei,学生,student,学生…がくせい
がくせつ,gakusetsu,学説,theory,学説…がくせつ
がくねん,gakunen,学年,year in school;grade in school,学年…がくねん
がくふ,gakufu,楽譜,score (music),楽譜…がくふ
がくぶ,gakubu,学部,department of a university;undergraduate,学部…がくぶ
がくもん,gakumon,学問,scholarship;study;learning,学問…がくもん
がくりょく,gakuryoku,学力,scholarship;knowledge;literary ability,学力…がくりょく
がくれき,gakureki,学歴,academic background,学歴…がくれき
がけ,gake,崖,cliff,崖…がけ
がち,gachi,雅致,artistry;good taste;elegance;grace,雅致…がち
がっか,gaka,学科,study subject;course of study,学科…がっか
がっかい,gakkai,学会,scientific society;academic meeting,学会…がっかい
がっかり,gakkari,,feel disappointed;be dejected;lose heart;feel emotionally drained;feel let down,…がっかり
がっき,gaki,楽器,musical instrument,楽器…がっき
がっき,gaki,学期,term (school),学期…がっき
がっきゅう,gakyuu,学級,grade in school,学級…がっきゅう
がっくり,gakkuri,,heartbroken,…がっくり
がっこう,gakkou,学校,school,学校…がっこう
がっしょう,gashou,合唱,chorus;singing in a chorus,合唱…がっしょう
がっしり,gasshiri,,firmly;solidly;tough,…がっしり
がっち,gachi,合致,agreement;concurrence;conforming to,合致…がっち
がっちり,gacchiri,,solidly built;tightly;shrewd;calculating,…がっちり
がっぴ,gapi,月日,(the) date,月日…がっぴ
がっぺい,gappei,合併,combination;union;amalgamation;consolidation;merger;coalition;fusion;annexation;affiliation;incorporation,合併…がっぺい
がまん,gaman,我慢,patience;endurance;perseverance;tolerance;self-control;self-denial,我慢…がまん
がる,garu,,feel,…がる
がわ,gawa,側,side;row;surroundings;part;(watch) case,側…がわ
がん,gan,癌,cancer,癌…がん
がんか,ganka,眼科,ophthalmology,眼科…がんか
がんきゅう,gankyuu,眼球,eyeball,眼球…がんきゅう
がんきょう,gankyou,眼鏡,spectacles;glasses,眼鏡…がんきょう
がんこ,ganko,頑固,stubbornness;obstinacy,頑固…がんこ
がんしょ,gansho,願書,written application or petition,願書…がんしょ
がんじつ,ganjitsu,元日,New Year's Day,元日…がんじつ
がんじょう,ganjyou,頑丈,solid;firm;stout;burly;strong;sturdy,頑丈…がんじょう
がんせき,ganseki,岩石,rock,岩石…がんせき
がんねん,gannen,元年,first year (of a specific reign),元年…がんねん
がんばる,ganbaru,頑張る,to persist;to insist on;to stand firm;to try one's best,頑張る…がんばる
がんぶつ,ganbutsu,贋物,imitation;counterfeit;forgery;sham,贋物…がんぶつ
がんらい,ganrai,元来,originally;primarily;essentially;logically;naturally,元来…がんらい
き,ki,木,tree;wood;timber,木…き
き,ki,気,spirit;mood,気…き
き,ki,生,pure;undiluted;raw;crude,生…き
き,ki,生,pure;undiluted;raw;crude,生…き
き,ki,期,period;time,期…き
きあつ,kiatsu,気圧,atmospheric pressure,気圧…きあつ
きいろい,kiiroi,黄色い,yellow,黄色い…きいろい
きえる,kieru,消える,to go out;to vanish;to disappear,消える…きえる
きおく,kioku,記憶,memory;recollection;remembrance,記憶…きおく
きおん,kion,気温,temperature,気温…きおん
きかい,kikai,機会,chance;opportunity,機会…きかい
きかい,kikai,機械,machine;mechanism,機械…きかい
きかえる,kikaeru,着替える,to change one's clothes,着替える…きかえる
きかく,kikaku,企画,planning;project,企画…きかく
きかく,kikaku,規格,standard;norm,規格…きかく
きかざる,kikazaru,着飾る,to dress up,着飾る…きかざる
きかん,kikan,器官,organ (of body);instrument,器官…きかん
きかん,kikan,季刊,quarterly (e.g. magazine),季刊…きかん
きかん,kikan,期間,period;term,期間…きかん
きかん,kikan,機関,organ;mechanism;facility;engine,機関…きかん
きかんしゃ,kikansha,機関車,locomotive;engine,機関車…きかんしゃ
きがい,kigai,危害,injury;harm;danger,危害…きがい
きがね,kigane,気兼ね,hesitance;diffidence;feeling constraint;fear of troubling someone;having scruples about doing something,気兼ね…きがね
きがる,kigaru,気軽,cheerful;buoyant;lighthearted,気軽…きがる
きき,kiki,危機,crisis,危機…きき
ききとり,kikitori,聞き取り,listening comprehension,聞き取り…ききとり
ききめ,kikime,効き目,effect;virtue;efficacy;impression,効き目…ききめ
ききょう,kikyou,帰京,returning to Tokyo,帰京…ききょう
ききん,kikin,基金,fund;foundation,基金…ききん
ききん,kikin,飢饉,famine,飢饉…ききん
きぎょう,kigyou,企業,enterprise;undertaking,企業…きぎょう
きく,kiku,聞く,to hear;to listen;to ask,聞く…きく
きく,kiku,効く,to be effective,効く…きく
きぐ,kigu,器具,utensil,器具…きぐ
きけん,kiken,棄権,abstain from voting;renunciation of a right,棄権…きけん
きけん,kiken,危険,danger;peril;hazard,危険…きけん
きげき,kigeki,喜劇,comedy;funny show,喜劇…きげき
きげん,kigen,起源,origin;beginning;rise,起源…きげん
きげん,kigen,期限,term;period,期限…きげん
きげん,kigen,機嫌,humour;temper;mood,機嫌…きげん
きこう,kikou,機構,mechanism;organization,機構…きこう
きこう,kikou,気候,climate,気候…きこう
きこえる,kikoeru,聞こえる,to be heard;to be audible,聞こえる…きこえる
きこん,kikon,既婚,marriage;married,既婚…きこん
きごう,kigou,記号,symbol;code,記号…きごう
きさい,kisai,記載,mention;entry,記載…きさい
きざ,kiza,気障,affectation;conceit;snobbery,気障…きざ
きざし,kizashi,兆し,signs;omen;symptoms,兆し…きざし
きざし,kizashi,兆,signs;omen;symptoms,兆…きざし
きざむ,kizamu,刻む,to mince;to carve;to engrave;to cut fine;to chop up;to hash;to chisel;to notch,刻む…きざむ
きし,kishi,岸,bank;coast;shore,岸…きし
きしむ,kishimu,軋む,to jar;to creak;to grate,軋む…きしむ
きしゃ,kisha,汽車,train (steam),汽車…きしゃ
きしゃ,kisha,記者,reporter,記者…きしゃ
きしょう,kishou,気象,weather;climate,気象…きしょう
きしょう,kishou,起床,rising;getting out of bed,起床…きしょう
きじ,kiji,生地,cloth;material;texture;ones true character;unglazed pottery,生地…きじ
きじ,kiji,記事,article;news story;report;account,記事…きじ
きじつ,kijitsu,期日,fixed date;settlement date,期日…きじつ
きじゅつ,kijyutsu,記述,describing;descriptor,記述…きじゅつ
きじゅん,kijyun,基準,standard;basis;criteria;norm,基準…きじゅん
きすう,kisuu,奇数,odd number,奇数…きすう
きず,kizu,傷,wound;injury;hurt;cut;gash;bruise;scratch;scar;weak point,傷…きず
きずく,kizuku,築く,to build;to pile up;to amass,築く…きずく
きずつく,kizutsuku,傷付く,to be hurt;to be wounded;to get injured,傷付く…きずつく
きずつける,kizutsukeru,傷付ける,to wound;to hurt someone's feelings,傷付ける…きずつける
きせい,kisei,規制,regulation,規制…きせい
きせつ,kisetsu,季節,season,季節…きせつ
きせる,kiseru,着せる,to put on clothes,着せる…きせる
きせん,kisen,汽船,steamship,汽船…きせん
きそ,kiso,基礎,foundation;basis,基礎…きそ
きそう,kisou,寄贈,donation;presentation,寄贈…きそう
きそく,kisoku,規則,rule;regulations,規則…きそく
きぞく,kizoku,貴族,noble;aristocrat,貴族…きぞく
きた,kita,北,North,北…きた
きたい,kitai,期待,expectation;anticipation;hope,期待…きたい
きたい,kitai,気体,vapour;gas,気体…きたい
きたえる,kitaeru,鍛える,to forge;to drill;to temper;to train;to discipline,鍛える…きたえる
きたく,kitaku,帰宅,returning home,帰宅…きたく
きたない,kitanai,汚い,dirty;unclean;filthy,汚い…きたない
きたる,kitaru,来る,to come;to arrive;to be due to;to be next;to be forthcoming,来る…きたる
きたる,kitaru,来る,to come;to arrive;to be due to;to be next;to be forthcoming,来る…きたる
きだて,kidate,気立て,disposition;nature,気立て…きだて
きち,kichi,基地,base,基地…きち
きちっと,kichito,,exactly;perfectly,…きちっと
きちょう,kichou,貴重,precious;valuable,貴重…きちょう
きちょうめん,kichoumen,几帳面,methodical;punctual;steady,几帳面…きちょうめん
きちんと,kichinto,,precisely;accurately,…きちんと
きっかけ,kikkake,切っ掛け,chance;start;cue;excuse;motive;impetus;occasion,切っ掛け…きっかけ
きっかり,kikkari,,exactly;precisely,…きっかり
きっさ,kisa,喫茶,tea drinking;tea house,喫茶…きっさ
きっちり,kicchiri,,precisely;tightly,…きっちり
きって,kite,切手,stamp (postage);merchandise certificate,切手…きって
きっと,kito,屹度,1.  (uk) surely;undoubtedly;certainly;without fail; 2.  sternly;severely,屹度…きっと
きっぱり,kippari,,clearly;plainly;distinctly,…きっぱり
きっぷ,kipu,切符,ticket,切符…きっぷ
きつい,kitsui,,tight;close;intense,…きつい
きづく,kiduku,気付く,to notice;to become aware of;to perceive;to realize,気付く…きづく
きてい,kitei,規定,regulation;provisions,規定…きてい
きてん,kiten,起点,starting point,起点…きてん
きどう,kidou,軌道,orbit;railroad track,軌道…きどう
きにいる,kiniiru,気に入る,to be pleased with;to suit,気に入る…きにいる
きにゅう,kinyuu,記入,entry;filling in of forms,記入…きにゅう
きぬ,kinu,絹,silk,絹…きぬ
きねん,kinen,記念,commemoration;memory,記念…きねん
きのう,kinou,昨日,yesterday,昨日…きのう
きのう,kinou,機能,function;faculty,機能…きのう
きのえ,kinoe,甲,1st in rank;first sign of the Chinese calendar;shell;instep;grade A,甲…きのえ
きのどく,kinodoku,気の毒,pitiful;a pity,気の毒…きのどく
きはい,kihai,気配,indication;market trend;worry,気配…きはい
きはん,kihan,規範,model;standard;pattern;norm;criterion;example,規範…きはん
きばん,kiban,基盤,foundation;basis,基盤…きばん
きひん,kihin,気品,aroma,気品…きひん
きびしい,kibishii,厳しい,severe;strict;stern;austere;grave;solemn;majestic;intense (cold),厳しい…きびしい
きふ,kifu,寄付,contribution;donation,寄付…きふ
きふう,kifuu,気風,character;traits;ethos,気風…きふう
きふく,kifuku,起伏,undulation,起伏…きふく
きぶん,kibun,気分,feeling;mood,気分…きぶん
きほん,kihon,基本,foundation;basis;standard,基本…きほん
きぼ,kibo,規模,scale;scope;plan;structure,規模…きぼ
きぼう,kibou,希望,hope;wish;aspiration,希望…きぼう
きまぐれ,kimagure,気まぐれ,whim;caprice;whimsy;fickle;moody;uneven temper,気まぐれ…きまぐれ
きまじめ,kimajime,生真面目,too serious;person who is too serious;honesty;sincerity,生真面目…きまじめ
きまつ,kimatsu,期末,end of term,期末…きまつ
きまり,kimari,決まり,settlement;conclusion;regulation;rule;custom,決まり…きまり
きまりわるい,kimariwarui,決まり悪い,feeling awkward;being ashamed,決まり悪い…きまりわるい
きまる,kimaru,決まる,to be decided;to be settled;to look good in (clothes),決まる…きまる
きみ,kimi,君,you (masc. term for female),君…きみ
きみ,kimi,気味,sensation;feeling,気味…きみ
きみ,kimi,気味,sensation;feeling,気味…きみ
きみ,kimi,君,you (masc. term for female),君…きみ
きみょう,kimyou,奇妙,strange;queer;curious,奇妙…きみょう
きめい,kimei,記名,signature;register,記名…きめい
きめる,kimeru,決める,to decide,決める…きめる
きもち,kimochi,気持ち,feeling;sensation;mood,気持ち…きもち
きもの,kimono,着物,kimono,着物…きもの
きゃく,kyaku,客,guest;customer,客…きゃく
きゃくしょく,kyakushoku,脚色,dramatization (e.g. film),脚色…きゃくしょく
きゃくせき,kyakuseki,客席,guest seating,客席…きゃくせき
きゃくほん,kyakuhon,脚本,scenario,脚本…きゃくほん
きゃくま,kyakuma,客間,parlor;guest room,客間…きゃくま
きゃっかん,kyakkan,客観,objective,客観…きゃっかん
きやく,kiyaku,規約,agreement;rules;code,規約…きやく
きゅう,kyuu,九,(num) nine,九…きゅう
きゅう,kyuu,旧,ex-,旧…きゅう
きゅう,kyuu,級,class  grade  rank;school class  grade,級…きゅう
きゅう,kyuu,球,globe;sphere;ball,球…きゅう
きゅう,kyuu,九,(num) nine,九…きゅう
きゅうえん,kyuuen,救援,relief;rescue;reinforcement,救援…きゅうえん
きゅうか,kyuuka,休暇,holiday;day off;furlough,休暇…きゅうか
きゅうがく,kyuugaku,休学,temporary absence from school;suspension,休学…きゅうがく
きゅうきょく,kyuukyoku,究極,ultimate;final;eventual,究極…きゅうきょく
きゅうぎょう,kyuugyou,休業,closed (e.g. store);business suspended;shutdown;holiday,休業…きゅうぎょう
きゅうくつ,kyuukutsu,窮屈,narrow;tight;stiff;rigid;uneasy;formal;constrained,窮屈…きゅうくつ
きゅうけい,kyuukei,休憩,rest;break;recess;intermission,休憩…きゅうけい
きゅうげき,kyuugeki,急激,sudden;precipitous;radical,急激…きゅうげき
きゅうこう,kyuukou,急行,express (e.g. train that bypasses many stations),急行…きゅうこう
きゅうこう,kyuukou,休講,lecture cancelled,休講…きゅうこう
